"QuestionTitle","ReviewDate","Keywords","CategoriesID","QuestionText"
"สอบถามมูลการสมัครเรียน","2026-06-11","ข้อมูล, ข้อมูลสมัครเรียน, ติดต่อ, สมัครเรียน, สอบถาม, หน่วยงาน, เบอร์โทรศัพท์","ข้อมูลสมัครเรียน","ติดต่อ: สำนักส่งเสริมวิชาการและงานทะเบียน
📞 โทรสายตร: 0-5671-7119"
"พิกัด สำนักงานอธิการบดี (ติดต่อ สมัครเรียน และ ทุนอุดหนุนการศึกษา)","9998-12-03","ข้อมูลการสมัครทุนอุดหนุนการศึกษา, ข้อมูลสมัครเรียน, พิกัด, สถานที่, สมัครทุน, สมัครเรียน, สำนักส่งเสริมวิชาการและงานทะเบียน","ข้อมูลสมัครเรียน","https://maps.app.goo.gl/QnFFjbcfu8a2F95EA"
"ประเภททุนอุดหนุนการศึกษา","2026-06-18","ข้อมูลการสมัครทุนอุดหนุนการศึกษา, จำนวน, ทุน, ทุนอุดหนุนการศึกษา, ประเภท, สมัครทุน","ข้อมูลการสมัครทุนอุดหนุนการศึกษา","โควตาทุนยกเว้นค่าเทอม (50 ทุน) แบ่งเป็น 4 ประเภท ดังนี้:
✅ ทุนเรียนดี 
✅ ทุนความสามารถพิเศษ
✅ ทุนนักกีฬา 
✅ ทุนสร้างโอกาสทางการศึกษา (ทุนยากจน)"
"เบอร์โทรติดต่อเรื่องทุนอุดหนุนการศึกษา","2026-06-12","ข้อมูล, ข้อมูลการสมัครทุนอุดหนุนการศึกษา, ติดต่อ, ทุน, ทุนอุดหนุนการศึกษา, สมัครทุน, สอบถาม, หน่วยงาน, เบอร์โทรศัพท์","ข้อมูลการสมัครทุนอุดหนุนการศึกษา","ติดต่อ: สำนักส่งเสริมวิชาการและงานทะเบียน
📞โทรสายตรง: 056-717119"
"สิทธิประโยชน์ของผู้ได้รับทุนอุดหนุนการศึกษา","2026-06-10","ข้อดี, จ่าย, ทุน, ทุนอุดหนุนการศึกษา, ประโยชน์, ปีถัดไป, ลด, ลดค่าใช้จ่าย, ลดหย่อน, สมัครทุน, สิทธิ, สิทธิประโยชน์ของผู้ได้รับทุนอุดหนุนการศึกษา, สิทธิ์","สิทธิประโยชน์ของผู้ได้รับทุนอุดหนุนการศึกษา","สิทธิประโยชน์:
1. เรียนฟรี: ได้รับการยกเว้นค่าธรรมเนียมการศึกษา (ค่าเทอม) แบบเหมาจ่ายตลอดหลักสูตร ตั้งแต่เทอม 1/2569 เป็นต้นไป
⚠️ กรณีจ่ายค่าเทอมไปแล้วสามารถนำใบเสร็จไปขอรับเงินคืนได้ที่งานคลัง
2. ไม่ต้องใช้คืน: เป็นทุนให้เปล่า ไม่ต้องชดใช้เงินคืนเมื่อเรียนจบ
3. กู้ กยศ. ได้: ยังมีสิทธิกู้ยืมเงิน กยศ. ได้ตามปกติ (เพื่อเป็นค่าครองชีพ)"
"รายละเอียดการรับสมัครทุนอุดหนุนการศึกษา","2026-07-09","กำหนดการ, ข้อมูลการสมัครทุนอุดหนุนการศึกษา, ทุนอุดหนุนการศึกษา, สมัคร, สมัครทุน, เอกสาร","ข้อมูลการสมัครทุนอุดหนุนการศึกษา","📢 รับสมัครทุนทุนอุดหนุนการศึกษา เฉพาะนักศึกษาปี 1 (รุ่น 68) มรภ.เพชรบูรณ์ ประจำปี 2568
🗓 ระยะเวลา: 1 - 31 ตุลาคม 2568 
📍สถานที่: สำนักส่งเสริมวิชาการและงานทะเบียน (ตึกอธิการบดี)
📂 เอกสารที่ต้องเตรียม (ห้ามขาด!):
       1. รูปถ่าย 1.5 นิ้ว (1 รูป)
       2. หนังสือรับรองรายได้ ผู้ปกครอง
       3. แผนที่ & รูปถ่ายบ้าน
       4. เรียงความ แสดงความจำเป็น
       5. บันทึกจิตอาสา
⚠️ หมายเหตุ: ต้องส่งครบทั้ง 5 รายการ หากไม่ครบจะไม่ได้รับการพิจารณา"
"มหาวิทยาลัยราชภัฏเพชรบูรณ์มีคณะอะไรบ้าง?","2026-07-17","ข้อมูลสมัครเรียน, คณะ, จำนวน","ข้อมูลสมัครเรียน","💜 6 คณะสร้างอนาคต มรภ.เพชรบูรณ์
1. คณะครุศาสตร์
2. คณะมนุษยศาสตร์และสังคมศาสตร์
3. คณะวิทยาการจัดการ
4. คณะวิทยาศาสตร์และเทคโนโลยี
5. คณะเทคโนโลยีการเกษตรและเทคโนโลยีอุตสาหกรรม
6. คณะพยาบาลศาสตร์"
"จำนวนนักศึกษาและแผนการรับนักศึกษา","2026-07-26","ข้อมูลสมัครเรียน, รับนักศึกษา, สมัครเรียน","ข้อมูลสมัครเรียน","จำนวนนักศึกษาและแผนการรับนักศึกษา
👉 https://sh.pcru.ac.th/XBkW"
"ค่าลงทะเบียนเรียนแต่ละหลักสูตร/สาขาวิชา","2026-07-26","ข้อมูลสมัครเรียน, ลงทะเบียนเรียน","ข้อมูลสมัครเรียน","ค่าลงทะเบียนเรียนแต่ละหลักสูตร/สาขาวิชา
👉 https://sh.pcru.ac.th/kjDP"
"กำหนดการการรับสมัครเรียน","2026-07-23","2569, กำหนดการ, ข้อมูลสมัครเรียน, ล่าสุด, สมัครเรียน","ข้อมูลสมัครเรียน","กำหนดการการรับสมัครเรียน
👉 https://sh.pcru.ac.th/oPDK"
